English,Hungary
free,ingyenes
either,bármelyik
seems,úgy tűnik
power,erő
whoa,izé
bye,Viszlát
buy,megvesz
telling,sokatmondó
honey,édesem
tried,megpróbálta
front,elülső
team,csapat
answer,válasz
gun,pisztoly
boys,fiúk
line,vonal
send,Küld
news,hírek
stupid,hülye
bed,ágy
hurry,siet
full,teljes
months,hónapok
save,megment
sometimes,néha
become,válik
along,mentén
hate,gyűlöl
food,étel
outside,kívül
light,fény
l,l
needs,igények
dog,kutya
country,ország
clear,egyértelmű
order,rendelés
em,em
fact,tény
lord,lord
captain,kapitány
six,hat
hot,forró
funny,vicces
black,fekete
mrs.,Asszony.
alive,élő
pick,szed
feeling,érzés
living,élő
cause,ok
ahead,előre
lose,elveszít
king,király
plan,terv
dinner,vacsora
sighs,sóhajt
sort,fajta
leaving,kilépő
shouldn,kellene
running,futás
boss,főnök
alright,rendben
promise,ígéret
taken,vették
safe,biztonságos
ma,ma
book,könyv
sent,küldött
white,fehér
hour,óra
anybody,bárki
small,kicsi
perfect,tökéletes
cause,ok
lives,életeket
special,különleges
parents,szülők
himself,saját maga
perhaps,talán
sounds,hangokat
serious,komoly
sick,beteg
company,vállalat
scared,megrémült
uncle,nagybácsi
poor,szegény
red,piros
past,múlt
earth,föld
possible,lehetséges
shoot,lő
touch,érintés
sound,hang
top,tetejére
ass,szamár
laughs,nevet
cannot,nem tud
asking,kérve
win,győzelem
glad,boldog
control,ellenőrzés
hmm,hmm
human,emberi
drive,hajtás
hair,haj
jack,Jack
bitch,kurva
luck,szerencse
murder,gyilkosság
happens,történik
air,levegő
ten,tíz
daddy,apu
finally,végül
chuckles,kuncog
fast,gyors
cold,hideg
seem,látszik
laughing,nevetés
words,szavak
hospital,kórház
street,utca
hang,lóg
dance,tánc
meeting,találkozó
till,amíg
others,mások
catch,fogás
follow,kövesse
sense,érzék
sex,szex
lie,fekszik
evening,este
master,fő-
known,ismert
dream,álom
write,ír
million,millió
voice,hang
sweet,édes
rather,Inkább
felt,filc
sign,jel
lucky,szerencsés
somewhere,valahol
bet,tét
jesus,Jézus
longer,hosszabb
calling,hívás
worked,dolgozott
quiet,csendes
looked,nézett
less,Kevésbé
pull,Húzni
beat,üt
careful,óvatos
coffee,kávé
return,Visszatérés
secret,titok
weeks,hétig
were,voltak
date,dátum
seeing,látás
fall,esik
given,adott
ooh,óóó
fault,hiba
straight,egyenes
takes,veszi
song,dal
future,jövő
gentlemen,Urak
loved,szeretett
changed,megváltozott
road,út
calm,nyugodt
wonderful,csodálatos
mad,őrült
turned,fordult
drop,csepp
ladies,hölgyek
learn,tanul
step,lépés
absolutely,teljesen
early,korai
explain,megmagyarázni
clean,tiszta
piece,darab
yesterday,tegnap
throw,dobás
picture,kép
land,föld
feet,lábát
wonder,csoda
questions,kérdéseket
speaking,beszélő
worth,érdemes
darling,Drágám
dude,haver
giving,adva
president,elnök
eye,szem
quick,gyors
moving,mozgó
figure,ábra
state,állapot
strong,erős
sam,sam
none,egyik sem
amazing,elképesztő
ones,azok
works,művek
act,törvény
needed,szükséges
weird,furcsa
law,törvény
worried,aggódó
report,jelentés
goodbye,viszontlátásra
missing,hiányzó
choice,választás
happening,esemény
chief,fő
wedding,esküvő
strange,furcsa
general,Tábornok
pain,fájdalom
am,am
kidding,viccelek
decided,határozott
pass,pass
tired,fáradt
class,osztály
officer,tiszt
kept,tartotta
wake,ébred
worse,rosszabb
busy,elfoglalt
mistake,hiba
kiss,csók
court,bíróság
building,épület
finish,Befejez
during,alatt
age,kor
ship,hajó
caught,elkapták
marry,feleségül vesz
meant,jelentett
sell,elad
dark,sötét
watching,nézni
system,rendszer
suppose,tegyük fel
evidence,bizonyíték
movie,film
ride,lovagol
completely,teljesen
mouth,száj
totally,teljesen
birthday,születésnap
forgive,megbocsát
born,született
imagine,Képzeld el
information,információ
instead,helyette
definitely,egyértelműen
security,Biztonság
certainly,biztosan
film,film
month,hónap
lying,fekvő
unless,hacsak
train,vonat
seven,hét
wear,viselet
clothes,ruhák
michael,michael
hotel,szálloda
christmas,Karácsony
attack,támadás
hasn,hasn
round,kerek
expect,elvárják
sing,énekel
terrible,szörnyű
george,György
bag,táska
history,történelem
blue,kék
near,közel
broke,törött
station,állomás
seriously,Komolyan
forever,örökké
david,David
frank,őszinte
except,kivéve
thinks,azt hiszi
message,üzenet
entire,teljes
joe,joe
table,asztal
talked,beszélt
across,át
rock,szikla
lovely,bájos
handle,fogantyú
middle,középső
buddy,haver
paid,fizetett
protect,védeni
using,segítségével
floor,padló
ran,futott
swear,esküszik
spend,tölt
situation,helyzet
ring,gyűrű
anywhere,bárhol
dangerous,veszélyes
bill,számla
york,york
army,hadsereg
lead,vezet
bought,vásárolt
finished,befejezett
fair,becsületes
sun,nap
letter,levél
fool,bolond
attention,Figyelem
club,klub
simple,egyszerű
interesting,érdekes
space,hely
test,teszt
box,doboz
group,csoport
single,egyetlen
sitting,ülés
marriage,házasság
join,csatlakozik
fear,félelem
peace,béke
forgot,elfelejtette
force,Kényszerítés
short,rövid
normal,Normál
charlie,Charlie
present,ajándék
enjoy,Élvezd
mike,mikrofon
crime,bűn
horse,ló
ground,talaj
american,Amerikai
count,számol
area,terület
charge,díj
honor,becsület
lunch,ebéd
miles,mérföldre
radio,rádió
idiot,idióta
ball,labda
surprise,meglepetés
paper,papír
key,kulcs
boat,hajó
quickly,gyorsan
gold,Arany
bar,rúd
fish,hal
mark,Mark
tom,tom
wearing,fárasztó
crying,síró
accident,baleset
government,kormány
eight,nyolc
fell,leesett
cover,borító
certain,bizonyos
interested,érdekelt
deep,mély
star,csillag
sea,tenger
agree,egyetért
problems,problémákat
detective,nyomozó
prison,börtön
major,Jelentősebb
stick,rúd
offer,ajánlat
difficult,nehéz
smart,Okos
personal,személyes
record,rekord
stopped,megállt
hide,elrejt
whether,vajon
bank,bank
trip,utazás
relax,lazíts
america,Amerika
public,nyilvános
list,lista
afternoon,délután
brain,agy
fix,javítani
bastard,fattyú
proud,büszke
tea,tea
service,szolgáltatás
screaming,sikoltozva
forward,előre
angry,mérges
park,park
soul,lélek
fighting,harcoló
peter,Péter
rich,gazdag
agent,ügynök
blow,fúj
paul,Pál
dress,ruha
mary,Mária
missed,nem fogadott
scene,színhely
killing,gyilkolás
standing,álló
saved,mentett
mm,mm
respect,tisztelet
killer,gyilkos
ice,jég
mess,rendetlenség
tough,kemény
feels,érzi
church,templom
sad,szomorú
cell,sejt
drunk,részeg
share,Ossza meg
camera,kamera
mm-hmm,mm-hmm
within,belül
card,kártya
fly,légy
ben,ben
girlfriend,barátnő
laugh,nevetés
smell,szag
broken,törött
mum,mama
honest,becsületes
often,gyakran
starting,induló
calls,hívásokat
spent,költött
third,harmadik
english,angol
visit,látogatás
mama,mama
judge,bíró
window,ablak
hungry,éhes
dare,merészel
relationship,kapcsolat
moved,megmozdult
prove,bizonyít
private,magán
wall,fal
seat,ülés
position,pozíció
lieutenant,hadnagy
realize,Rájön
lt,lt
especially,különösen
machine,gép
walking,gyaloglás
art,Művészet
pleasure,öröm
